"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FF","2025-10-20","95.4","-1.8","4.91","Woo, Bryan",665926,693433,"sac_bunt","hit_into_play",,,,,9,"Andrés Giménez out on a sacrifice bunt, pitcher Bryan Woo to second baseman Leo Rivas. Addison Barger to 3rd. Isiah Kiner-Falefa to 2nd.","L","L","R","TOR","SEA","X",1,"ground_ball",1,0,2025,"-0.91","1.12",0.6658483814548467,1.7235235257200738,,680718,643396,0,7,"Bot",124.67,192.67,,,,,8.53194287690037,-138.55543392058559,-5.225772199524955,-13.700509015006961,33.167953909705666,-16.705678167310705,"3.31","1.52",2,"30.4",-42,"95.2",2230,"6.5",813037,663728,647304,660844,553993,641487,668227,677594,645302,"54.04",0.208,,"0.2",0,0,0,1,58,2,"4-Seam Fastball",1,3,1,3,3,1,1,3,"Strategic","Strategic",231,"-0.029","-0.046","10.3","1.0",0.208,"0.046","88.0",-2,-2,0.407,0.407,25,26,25,27,2,2,3,1,,4,"1.41","0.91","-0.91","22.6",39.00252443258359,25.489794522954842,85.59126503684834,28.403273549034314,14.417508318745519
"FF","2025-10-20","94.3","-1.78","4.92","Woo, Bryan",665926,693433,,"ball",,,,,14,"Ball","L","L","R","TOR","SEA","B",,,0,0,2025,"-0.7","1.35",1.5893316995556552,1.919451958252759,,680718,643396,0,7,"Bot",,,,,,,10.427242418486662,-136.77121848970808,-5.048974415569761,-11.279797504212391,33.57181478893984,-14.311485626668267,"2.64","1.25",,,,"94.7",2191,"6.9",813037,663728,647304,660844,553993,641487,668227,677594,645302,"53.56",,,,,,,,58,1,"4-Seam Fastball",1,3,1,3,3,1,1,3,"Strategic","Standard",233,"0.013","0.045",,,,"-0.045",,-2,-2,0.394,0.394,25,26,25,27,2,2,3,1,,4,"1.25","0.7","-0.7","23.0",,,,,
"ST","2025-10-20","85.1","-1.68","4.66","Woo, Bryan",643396,693433,"single","hit_into_play",,,,,5,"Isiah Kiner-Falefa singles on a ground ball to center fielder Julio Rodríguez. Addison Barger to 2nd.","L","R","R","TOR","SEA","X",8,"ground_ball",0,2,2025,"1.21","0.51",-0.249119559493308,2.1102923262566207,,,680718,0,7,"Bot",119.35,108.85,,,,,0.940705968961826,-124.04950342004148,-0.6991038939240064,12.284008397999836,25.01543083790305,-27.031230829501105,"3.24","1.49",40,"92.6",-1,"84.9",2453,"6.1",813037,663728,647304,660844,553993,641487,668227,677594,645302,"54.39",0.311,0.297,"0.9",1,1,0,2,57,3,"Sweeper",1,3,1,3,3,1,1,3,"Standard","Standard",80,"0.126","0.565","65.4","6.6",0.323,"-0.565","92.6",-2,-2,0.268,0.268,25,30,25,30,1,2,3,1,,4,"2.63","-1.21","-1.21","17.5",0.6860286832916761,2.9257962065632745,31.163912840044876,32.53227719544514,24.997145080462424
"SI","2025-10-20","95.3","-1.81","4.88","Woo, Bryan",643396,693433,,"foul",,,,,13,"Foul","L","R","R","TOR","SEA","S",,,0,1,2025,"-1.34","0.22",-0.8688572106832906,1.7759320333876363,,,680718,0,7,"Bot",,,,,,,5.475008867354612,-138.71397064559395,-2.9621102314256254,-18.470596397387922,33.14261934396989,-28.89163896429026,"3.24","1.49",,,,"94.9",2257,"6.2",813037,663728,647304,660844,553993,641487,668227,677594,645302,"54.33",,,,,,,,57,2,"Sinker",1,3,1,3,3,1,1,3,"Standard","Standard",237,"-0.013","-0.053","69.1","6.7",,"0.053",,-2,-2,0.281,0.281,25,30,25,30,1,2,3,1,,4,"2.3","1.34","1.34","17.7",-10.51859961769262,6.812554992622197,41.667361247925,25.62606733850673,20.032623048635955
"FF","2025-10-20","93.8","-1.93","4.84","Woo, Bryan",643396,693433,,"called_strike",,,,,5,"Called Strike","L","R","R","TOR","SEA","S",,,0,0,2025,"-0.81","1.19",0.03712540519451879,2.5309243781501687,,,680718,0,7,"Bot",,,,,,,6.889981676900771,-136.3570404714409,-2.804220679553796,-11.700552000008024,32.81848623001587,-17.02871113874501,"3.07","1.42",,,,"93.5",2249,"6.4",813037,663728,647304,660844,553993,641487,668227,677594,645302,"54.12",,,,,,,,57,1,"4-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard",230,"-0.009","-0.043",,,,"0.043",,-2,-2,0.29,0.29,25,30,25,30,1,2,3,1,,4,"1.43","0.81","0.81","18.9",,,,,
"FF","2025-10-20","95.9","-1.71","4.91","Woo, Bryan",680718,693433,"walk","ball",,,,,14,"Addison Barger walks.","L","L","R","TOR","SEA","B",,,3,1,2025,"-0.76","1.1",1.2884823534908878,2.1483453355180004,,,,0,7,"Bot",,,,,,,9.786293176087783,-139.304894042786,-4.174479164591228,-12.21399319005457,33.89983296573284,-17.07349692696237,"3.71","1.83",,,,"96.8",2210,"7.1",813037,663728,647304,660844,553993,641487,668227,677594,645302,"53.42",,0.691497,"0.7",1,0,0,,56,5,"4-Seam Fastball",1,3,1,3,3,1,1,3,"Infield shade","Standard",233,"0.041","0.262",,,,"-0.262",,-2,-2,0.249,0.249,25,25,25,26,1,2,3,1,,4,"1.4","0.76","-0.76","27.4",,,,,
"FF","2025-10-20","95.8","-1.73","4.95","Woo, Bryan",680718,693433,,"ball",,,,,14,"Ball","L","L","R","TOR","SEA","B",,,2,1,2025,"-0.74","1.15",0.6956085002372099,1.5101649812756912,,,,0,7,"Bot",,,,,,,8.065753762877861,-139.1935854087851,-6.002053702074519,-11.477962433318039,33.950703777446925,-16.078471829149667,"3.72","1.84",,,,"95.3",2095,"6.3",813037,663728,647304,660844,553993,641487,668227,677594,645302,"54.22",,,,,,,,56,4,"4-Seam Fastball",1,3,1,3,3,1,1,3,"Infield shade","Standard",229,"0.021","0.134",,,,"-0.134",,-2,-2,0.228,0.228,25,25,25,26,1,2,3,1,,4,"1.36","0.74","-0.74","23.0",,,,,
"FF","2025-10-20","95.6","-1.72","4.99","Woo, Bryan",680718,693433,,"ball",,,,,11,"Ball","L","L","R","TOR","SEA","B",,,1,1,2025,"-0.7","1.2",-0.0834993562610653,4.914916688199634,,,,0,7,"Bot",,,,,,,5.866948870437024,-138.96497501950685,2.771194115519864,-10.415317413434972,34.16420412559564,-17.63507015293001,"3.68","1.82",,,,"94.7",2195,"6.1",813037,663728,647304,660844,553993,641487,668227,677594,645302,"54.43",,,,,,,,56,3,"4-Seam Fastball",1,3,1,3,3,1,1,3,"Infield shade","Standard",229,"0.009","0.055",,,,"-0.055",,-2,-2,0.219,0.219,25,25,25,26,1,2,3,1,,4,"1.32","0.7","-0.7","20.8",,,,,
"FF","2025-10-20","96","-1.79","4.92","Woo, Bryan",680718,693433,,"foul",,,,,6,"Foul","L","L","R","TOR","SEA","S",,,1,0,2025,"-0.92","1.07",0.7076852836145385,2.8208152672120335,,,,0,7,"Bot",,,,,,,8.656985204931257,-139.4026060773616,-2.276042582019614,-14.048171706430669,34.99850101782414,-18.040205689505303,"3.68","1.73",136,"62.5",64,"95.1",2245,"6.2",813037,663728,647304,660844,553993,641487,668227,677594,645302,"54.33",,,,,,,,56,2,"4-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard",232,"-0.009","-0.05","75.1","6.7",,"0.05","88.0",-2,-2,0.228,0.228,25,25,25,26,1,2,3,1,,4,"1.44","0.92","-0.92","18.8",-2.6803031783673155,4.388665426239005,30.022854764036385,27.25287921963574,26.654588500789608
"SI","2025-10-20","95.3","-1.39","5.02","Woo, Bryan",680718,693433,,"ball",,,,,12,"Ball","L","L","R","TOR","SEA","B",,,0,0,2025,"-1.32","0.29",1.248876474654688,3.07500552541451,,,,0,7,"Bot",,,,,,,9.826437731490284,-138.30529764319098,-0.038988263133796774,-19.161961670781924,33.741103178198784,-28.697639962334097,"3.67","1.82",,,,"94.5",2260,"6.2",813037,663728,647304,660844,553993,641487,668227,677594,645302,"54.34",,,,,,,,56,1,"Sinker",1,3,1,3,3,1,1,3,"Standard","Standard",226,"0.007","0.041",,,,"-0.041",,-2,-2,0.221,0.221,25,25,25,26,1,2,3,1,,4,"2.25","1.32","-1.32","27.1",,,,,
"FF","2025-10-20","97.2","-1.67","5.01","Woo, Bryan",676391,693433,"force_out","hit_into_play",,,,,2,"Ernie Clement grounds into a force out, shortstop J.P. Crawford to second baseman Leo Rivas. Alejandro Kirk out at 2nd.","L","R","R","TOR","SEA","X",6,"ground_ball",1,0,2025,"-0.92","1.05",-0.0952850192363709,3.3892504507210806,,,672386,2,6,"Bot",114.29,152.39,,,,,6.293695521769047,-141.2766536301921,-1.1458282896984076,-13.767913949532371,36.766261322842745,-18.163466176859213,"3.32","1.55",12,"94",-15,"96.4",2375,"6.2",813037,663728,647304,660844,553993,641487,668227,677594,645302,"54.26",0.139,0.147,"0",1,0,0,2,50,2,"4-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard",227,"-0.038","-0.306","65.0","6.5",0.139,"0.306","94.0",-2,-2,0.223,0.223,25,29,25,29,1,2,3,1,,4,"1.39","0.92","0.92","23.0",16.380429854871863,-2.7729059998104737,18.19002213256323,36.37685586533751,25.848005104716314
"FF","2025-10-20","97.8","-1.48","4.96","Woo, Bryan",676391,693433,,"ball",,,,,14,"Ball","L","R","R","TOR","SEA","B",,,0,0,2025,"-0.88","1.07",0.6007506677042983,1.3120368973380567,,,672386,2,6,"Bot",,,,,,,7.699278166020508,-142.04867524231324,-6.7673101388546515,-13.732234249943103,36.30783408665014,-16.285582636682904,"3.4","1.58",,,,"98",2365,"6.8",813037,663728,647304,660844,553993,641487,668227,677594,645302,"53.72",,,,,,,,50,1,"4-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard",229,"0.003","0.035",,,,"-0.035",,-2,-2,0.22,0.22,25,29,25,29,1,2,3,1,,4,"1.35","0.88","0.88","22.8",,,,,
"FF","2025-10-20","97.2","-1.78","4.92","Woo, Bryan",662139,693433,"field_out","hit_into_play",,,,,7,"Daulton Varsho lines out to right fielder Victor Robles.","L","L","R","TOR","SEA","X",9,"line_drive",1,0,2025,"-0.8","1.36",-0.38428799122997226,1.8791000621728187,,,672386,1,6,"Bot",177.61,78.91,,,,,5.5863686429677175,-141.24604051026023,-5.655223831998582,-12.050463842586614,36.38667723310471,-12.919956500165723,"3.37","1.57",324,"98.3",21,"96.7",2477,"6.4",813037,663728,647304,660844,553993,641487,668227,677594,645302,"54.12",0.296,0.365,"0",1,0,0,5,49,2,"4-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard",229,"-0.052","-0.29","78.9","8.4",0.579,"0.29","98.3",-2,-2,0.272,0.272,25,28,25,29,1,2,3,1,,4,"1.09","0.8","-0.8","24.4",15.522131684598572,0.6305904445323925,30.164279405280606,42.01487959193355,28.667090183209563
